model,systemic_risk_weight,active_assets,number_of_active_assets,ETH,BTC,NASDAQ,SP500,GOLD,USD
standard,0.0,"BTC, NASDAQ, GOLD",3,5.637791442620471e-17,0.563062694977649,0.24583131801983704,6.525365847875923e-18,0.1911059870025138,7.414136938826663e-17
systemic_risk_aware,0.005,"BTC, NASDAQ, GOLD",3,1.9355251919260044e-18,0.574433688609053,0.19106334132363464,0.0,0.23450297006731233,4.5001471971456276e-17
systemic_risk_aware,0.01,"BTC, NASDAQ, GOLD",3,0.0,0.5759723351374761,0.1630103081644213,0.0,0.2610173566981028,0.0
systemic_risk_aware,0.015,"BTC, NASDAQ, GOLD",3,0.0,0.5763700227294779,0.13681113713428536,1.0461680899006114e-17,0.2868188401362369,7.327598804657015e-18
systemic_risk_aware,0.02,"BTC, NASDAQ, GOLD",3,0.0,0.5819170629032622,0.10867323777723512,0.0,0.3094096993195028,0.0
systemic_risk_aware,0.025,"BTC, NASDAQ, GOLD",3,0.0,0.5862954475143517,0.07636549038071483,0.0,0.33733906210493353,0.0
systemic_risk_aware,0.03,"BTC, NASDAQ, GOLD",3,0.0,0.5887323021246489,0.04150068347052342,3.865844837660793e-18,0.3697670144048278,4.6365004951682394e-17
systemic_risk_aware,0.04,"BTC, GOLD",2,2.4978396098692238e-17,0.5849066300538279,0.0,1.7396262247389295e-17,0.415093369946172,5.2854265446687706e-17
systemic_risk_aware,0.05,"BTC, GOLD",2,8.673617379884035e-18,0.5667322694630932,0.0,0.0,0.43326773053690687,0.0
systemic_risk_aware,0.06,"BTC, GOLD",2,1.3493879972835503e-17,0.5486144418964012,3.530014331092304e-17,0.0,0.4513855581035988,0.0
systemic_risk_aware,0.075,"BTC, GOLD",2,0.0,0.5213850532666892,1.1682113183173008e-17,0.0,0.47861494673331084,5.346338974140859e-17
systemic_risk_aware,0.09,"BTC, GOLD",2,0.0,0.4941615326617339,2.798857785108243e-17,3.84918127263617e-17,0.505838467338266,1.6299837737011872e-17
systemic_risk_aware,0.1,"BTC, GOLD",2,7.408508459662896e-17,0.474389332465489,9.431068551954324e-19,4.0135362839797755e-17,0.5256106675345109,2.4387733637750044e-17
systemic_risk_aware,0.125,"BTC, GOLD",2,8.450018551962969e-18,0.4306399521438957,0.0,0.0,0.5693600478561043,2.8445276614486617e-17
systemic_risk_aware,0.15,"BTC, GOLD",2,0.0,0.3856484714706873,0.0,2.944890138542091e-17,0.6143515285293126,1.953234338088063e-16
systemic_risk_aware,0.175,"BTC, GOLD",2,1.222980050563649e-16,0.34112097622374565,1.3010426069826053e-18,1.929879867024198e-17,0.6588790237762542,0.0
systemic_risk_aware,0.2,"ETH, BTC, GOLD",3,0.018158055163593978,0.2732077722526515,1.3839840731777464e-16,1.3877787807814457e-16,0.7086341725837545,0.0
systemic_risk_aware,0.225,"ETH, BTC, GOLD",3,0.03645372482921552,0.2034569343751243,1.3682631416767066e-16,1.2574034695400638e-16,0.7600893407956599,0.0
systemic_risk_aware,0.25,"ETH, BTC, GOLD",3,0.06258284406427903,0.12345255871064613,2.3462135012586316e-16,1.7824283715661693e-16,0.8139645972250744,0.0
systemic_risk_aware,0.3,"ETH, BTC, GOLD",3,0.08461575346101224,0.008078430348066271,3.382710778154774e-17,1.7564075194265172e-17,0.9073058161909215,0.0
systemic_risk_aware,0.35,"ETH, GOLD",2,0.03901501243365399,0.0,0.0,1.5785983631388945e-16,0.9609849875663464,0.0
systemic_risk_aware,0.4,GOLD,1,7.931816407144691e-17,0.0,0.0,0.0,1.0,1.942890293094024e-16
systemic_risk_aware,0.5,GOLD,1,0.0,0.0,1.150537306029214e-16,1.5346758907747928e-16,0.9999999999999997,3.0531133177191805e-16
systemic_risk_aware,0.6,GOLD,1,0.0,8.636676530915298e-17,0.0,0.0,1.0,4.440892098500626e-16
systemic_risk_aware,0.75,GOLD,1,0.0,2.7098219161408615e-16,0.0,5.091099323331143e-17,1.0,5.551115123125783e-17
systemic_risk_aware,1.0,GOLD,1,0.0,5.519740696925973e-16,0.0,3.8707219916471803e-16,1.0,0.0
