asset,expected_return,systemic_risk_score,scaled_systemic_risk
ETH,0.4084560077778866,0.9879941263577412,0.8527852538627789
BTC,0.3348366410721407,0.9480513519377198,0.8183087239775921
NASDAQ,0.16289865576162238,1.1295913576704515,0.9750046351625756
SP500,0.13153060721183576,1.1585497308759969,1.0
GOLD,0.16121300984453746,0.4844747028957591,0.4181734197369676
USD,0.004874048626003881,0.5136373281479105,0.4433450843405243
