,coefficient,OLS_std_error,OLS_p_value,HAC_std_error,HAC_p_value
const,6.699048477144657e-05,0.0006976445788245657,0.923513301330225,0.0006834239789382655,0.9219149407771797
BTC,1.0607340679882167,0.019997246737924534,0.0,0.03713758602808578,1.977355082788212e-179
NASDAQ,0.20770547650839166,0.06692399735090342,0.0019441777653555698,0.0772677862553729,0.0071854468960712405
GOLD,0.022427754198950607,0.06278436042101915,0.7209735802791524,0.06802896818360202,0.7416421675642398
USD,-0.08522892766964833,0.1722434829328627,0.6207953337326911,0.18004063467772952,0.6359369771167935
VIX,-0.027047140146521275,0.012721921843174009,0.033648833596528184,0.015472413899845302,0.08044880089934116
