model,n_observations,r_squared,adjusted_r_squared,max_vif,aic,bic
Model A - SP500,1660,0.699457035258895,0.6985485015081662,2.281692759817484,-7114.951124377449,-7082.4636870893455
Model B - NASDAQ,1660,0.6996553920599125,0.6987474579367562,2.273609572893331,-7116.047077486213,-7083.55964019811
Model C - SP500 + NASDAQ,1660,0.6996809575507945,0.6985908702823763,10.585451857289913,-7114.18838357278,-7076.286373403326
