,coefficient,OLS_std_error,OLS_p_value,HAC_std_error,HAC_p_value
const,7.154473256939164e-05,0.0006979071771326643,0.918361723206976,0.0006819903616927495,0.9164505704969247
BTC,1.0638285737734807,0.019832879932541583,0.0,0.03680670464433549,1.090881714856032e-183
SP500,0.23862535171744537,0.08168289659613916,0.0035323021796210496,0.09071663741413384,0.008527254024956852
GOLD,0.02409305561752232,0.06278550181392588,0.7012234676739632,0.06782889807920388,0.7224372133320032
USD,-0.08156702898698598,0.17246089395312172,0.636304435130512,0.18035586096084283,0.6510845348566853
VIX,-0.02797526591551023,0.012875252327470941,0.029937412160813807,0.015774621742055357,0.07615665781632176
