,coefficient,OLS_std_error,OLS_p_value,HAC_std_error,HAC_p_value
const,6.321440569793425e-05,0.0006978984694346413,0.9278387074690397,0.0006823888147891223,0.926192003018021
BTC,1.0608933640144835,0.02000695040227459,0.0,0.037099983365078935,7.638011230524179e-180
SP500,0.06591238450861428,0.1757093870943112,0.7076181659011649,0.19862600879183037,0.7400088247689347
NASDAQ,0.15987579876616165,0.14400881292989703,0.2670826544699033,0.1680302746481653,0.34136573986496543
GOLD,0.02232614687545169,0.06280125973047049,0.7222568367896566,0.0679891236490982,0.7426257145854835
USD,-0.08242337415873084,0.17245049902007664,0.6327462741906223,0.1798917792788935,0.6468208962056101
VIX,-0.026072100052114994,0.012987978897325985,0.04486934285840023,0.015748768114626898,0.09782293060807848
