date,n_observations,r_squared,adjusted_r_squared,coef_const,ols_p_const,hac_p_const,coef_BTC,ols_p_BTC,hac_p_BTC,coef_SP500,ols_p_SP500,hac_p_SP500,coef_GOLD,ols_p_GOLD,hac_p_GOLD,coef_USD,ols_p_USD,hac_p_USD,coef_VIX,ols_p_VIX,hac_p_VIX
2020-12-31,252,0.771787719542862,0.7671492585579608,0.0006615731033090353,0.7386495631324438,0.7349759966417742,1.112237485020847,1.5615015128107793e-65,2.6535816088189337e-187,0.2916783730105895,0.034976654681409626,0.02854262209916783,-0.21160648689088443,0.18331603888694287,0.09668279469473545,-0.20514469522717738,0.6574565241465171,0.6158178323169095,-0.007676395615451161,0.8161115403876384,0.8137662473767029
2021-01-04,252,0.7443800695845832,0.7391845425436194,0.0011916297490335388,0.5895736548408476,0.5506365120369143,1.1632593792276882,1.6193739247546276e-61,2.4680122558921416e-79,0.29810542693497133,0.05279035697013351,0.027883738978498076,-0.10177705157679048,0.563821974355963,0.5455191784421951,-0.03953035069194222,0.938779212119671,0.9265194905111832,0.025822649148576793,0.4807561685362879,0.5555071232616062
2021-01-05,252,0.7437532398194863,0.7385449723361426,0.001112028994844634,0.6147841473080151,0.5772566230967284,1.1610738343016884,2.2270109761272823e-61,2.92318918442328e-81,0.3018001990084368,0.0498917536617059,0.02621417515645191,-0.10120768921442849,0.5662450604586416,0.5508097325516045,-0.02228869547466683,0.9653957814486162,0.958973669237539,0.026705603720862253,0.4655769333254358,0.5473012176234453
2021-01-06,252,0.7486884381314896,0.7435804795569263,0.001327159315599576,0.5455985552623657,0.5050234178380266,1.1662570100358547,1.169850813434125e-62,8.147469675578947e-85,0.29196259432446275,0.05626994172532735,0.029601648785845584,-0.09236160880214667,0.5943802719027638,0.588793574794985,0.03145818351623508,0.9509228035129249,0.9423787374517244,0.02601877942324998,0.4740177204536775,0.5542716794346764
2021-01-07,252,0.7449950075464803,0.7398119792445794,0.001107698673683669,0.6166129133932413,0.5772353752978718,1.1600511656413874,6.879265108608515e-62,8.633264001208053e-90,0.3044281018566568,0.04798271171254648,0.02662586770251188,-0.09681231575691336,0.5795752485761231,0.5675764213656305,-0.014107130682742719,0.978121736516894,0.9734192955023719,0.030531076114738535,0.4032061484156073,0.5070854196417381
2021-01-08,252,0.7430967478495742,0.7378751370335087,0.0008695579704899848,0.6955391565928231,0.6639139436625431,1.1554734455208175,1.8007689267572956e-61,2.744935797040508e-89,0.3030010034798791,0.049820041782587636,0.028624743448354577,-0.048629332283307666,0.7769305267203754,0.7879474762947549,-0.009691841440443882,0.9850214005754114,0.9816395097257882,0.031078624371734073,0.3972747974281521,0.5008751767842645
2021-01-11,252,0.7450237005986602,0.7398412554888769,0.0011047511028730987,0.619290569091721,0.5774551863770124,1.144533958367767,6.634514193417844e-62,3.5427165270132564e-86,0.31823758323640905,0.03922240929851021,0.02380889703591098,-0.03048715780272343,0.8587772246256767,0.8697980509049382,0.041313042104453856,0.936134464046195,0.9220108042082722,0.033957595392307485,0.3551345640726037,0.46808422423039786
2021-01-12,252,0.7455116072007099,0.7403390788917812,0.0011419059758302312,0.6074837810280489,0.5649268064394849,1.1433895757663488,4.809967674126284e-62,3.007468414278281e-86,0.3177453795989757,0.03958896945274939,0.024143559634873163,-0.0313148101426681,0.8550377399717652,0.8659483358062425,0.028401268470078067,0.9559114671721872,0.9458001478818644,0.03343487274014302,0.36208318937468675,0.4726779886447994
2021-01-13,252,0.7441117085244848,0.7389107269904296,0.0008920519296011739,0.6873911295146181,0.650992371823116,1.1305392758599513,1.9549231644879794e-61,2.0178092923677664e-81,0.33113444288137106,0.03136694061730921,0.020939666137790646,-0.02406390601681843,0.8881449556618097,0.8959446399032368,0.0017124614681125472,0.9973294662750596,0.9967066076506738,0.03373374546540327,0.35638792823332244,0.47311208118379033
2021-01-14,252,0.7448139296162596,0.7396272208686225,0.0009404947546470849,0.6717437956418457,0.6334613522314474,1.132563158321742,1.0353823702131163e-61,3.152882651977833e-84,0.3310383347068261,0.03150733352101301,0.021014449221675467,-0.027031753200514902,0.8745081446413115,0.8832735442381836,0.0002547712807898783,0.9996029126247801,0.999509918636169,0.03451302522200085,0.3452644671725015,0.46167298954705405
