date,n_observations,r_squared,adjusted_r_squared,coef_const,ols_p_const,hac_p_const,coef_BTC,ols_p_BTC,hac_p_BTC,coef_NASDAQ,ols_p_NASDAQ,hac_p_NASDAQ,coef_GOLD,ols_p_GOLD,hac_p_GOLD,coef_USD,ols_p_USD,hac_p_USD,coef_VIX,ols_p_VIX,hac_p_VIX
2020-12-31,252,0.7715820772528958,0.766939436546654,0.00044070897727597536,0.824674756550148,0.8221285051601555,1.111216995353236,3.877435710106294e-65,3.4563214822401596e-196,0.28418241822897655,0.03982811265488147,0.057179531963765365,-0.23161949904839374,0.14936066157921005,0.08227307860179726,-0.2531824889962423,0.5842966091579148,0.5355610079807409,-0.007270568471053087,0.8284715399568889,0.841030396857771
2021-01-04,252,0.7439277298009688,0.7387230088619641,0.0009768208230316322,0.6594884987102554,0.6264516927220831,1.1631371549255696,3.5927567003143554e-61,5.269819416995032e-80,0.28018220910684066,0.06858802668826902,0.06311890592753691,-0.12003522671495656,0.5004779403558651,0.49082973668601393,-0.08792141896783234,0.8644403423842533,0.838655014612289,0.024520730284366413,0.5104428797262994,0.5934827060101411
2021-01-05,252,0.743281176992914,0.7380633147366724,0.0008935737581145338,0.6869936219147488,0.6558503022486786,1.1609385407486428,5.018828777370798e-61,5.358092766012446e-82,0.28343107737048695,0.06546415335931369,0.05996170806042429,-0.11955500714239703,0.5024946439121993,0.4957598858119937,-0.07073111267337007,0.8905779637922506,0.8713039912706326,0.02536301339797601,0.49582505443306624,0.5848563105214459
2021-01-06,252,0.748274234457992,0.7431578571095772,0.0011264773329130013,0.6091789101018587,0.5734413417835916,1.1667156618764611,1.8194407952271282e-62,6.048894068010079e-85,0.27485931536706326,0.07187143965638984,0.06734376072029219,-0.11251747423868323,0.5214544196583313,0.5216227132568381,-0.01571881635151029,0.9754835311040467,0.9714492542822529,0.02492170521019685,0.5004378875806974,0.5906459481515138
2021-01-07,252,0.7443062232382494,0.739109195255287,0.0009002936594090247,0.6852313250815727,0.6523262751514807,1.1610905273343957,1.1667508133509323e-61,1.1505292508390604e-89,0.2773564150444827,0.07149452867564703,0.06701179257674983,-0.11593825388418824,0.512282258360909,0.5067419107359881,-0.06441664970758176,0.9004622389535,0.8798267640323053,0.027915714464358178,0.45348129626364997,0.5564175920222636
2021-01-08,252,0.7422661069070203,0.7370276131449679,0.0006644553029035163,0.7659024721255921,0.7413935973668079,1.15681248954462,3.343607726156274e-61,2.081372724457046e-89,0.2697519972894209,0.08048853389844055,0.0773965051846139,-0.06462834852414835,0.7098087365156619,0.7293715186528733,-0.05901220846994448,0.9091197267796103,0.8892280892771371,0.027402428766376948,0.46408094739142813,0.5630726302511424
2021-01-11,252,0.7440220871209671,0.7388192840136696,0.0009075649998892268,0.6846480055402067,0.6498561043429535,1.1454986525934125,1.713429033634778e-61,3.778706092143223e-86,0.2803710977421674,0.06975812051103433,0.0669851733420177,-0.04531169324422968,0.7939194003739567,0.8143064335030922,-0.0068794320724672176,0.9893761668913735,0.9870789377353297,0.029618786880553197,0.42955625688220345,0.5346412468407744
2021-01-12,252,0.744524370900677,0.7393317768132924,0.0009434126230241514,0.6728047511499388,0.6372037206249863,1.144406668170515,1.1998722659339511e-61,2.3219123839022526e-86,0.28038814616785923,0.0699206608885848,0.06743814794581704,-0.04620419299504405,0.7900386422142375,0.8102813362067619,-0.018748670638260023,0.9709474178447638,0.9644390393756535,0.029208263108410622,0.43569076380936234,0.5388614618923584
2021-01-13,252,0.7431241379359542,0.7379030838289614,0.0006783788677090798,0.76072080209319,0.7328915992760605,1.1311887670121554,5.1823634959731476e-61,2.802757451493326e-81,0.2960367458788248,0.05483471783432779,0.053819147557908315,-0.0403464028404559,0.8157680666907969,0.8325610152749245,-0.04806464496286811,0.9252970607021164,0.9081026585053407,0.029964052415423666,0.4224654584494525,0.530723606243536
2021-01-14,252,0.7438516892929478,0.7386454228151622,0.0007214087236756565,0.746339829731671,0.7166757126247489,1.1331028328108317,2.84060504094688e-61,5.124540908232964e-84,0.2967418933725961,0.054375891512281276,0.053175672365982043,-0.04347056748788264,0.8018573463795252,0.8198954331236927,-0.049415131141463675,0.9232438064545972,0.905530844282957,0.030855983356415463,0.4085537519182485,0.5170088787135606
