model,n_windows,mean_r_squared,median_r_squared,min_r_squared,max_r_squared,mean_adjusted_r_squared
model_a_sp500,1409,0.6994811834415063,0.6972347571647928,0.47490453147852485,0.8286434910166146,0.6933730774138948
model_b_nasdaq,1409,0.6997965105530353,0.6974321458780182,0.47311523516313325,0.8289395270664096,0.6936948136130563
