shock_source,total_propagated_shock,external_system_impact,source_reverberation,systemic_risk_rank
SP500,1.1585497308759967,1.0400594852510723,0.11849024562492438,1
NASDAQ,1.1295913576704515,1.0164684848018348,0.11312287286861657,2
VIX,1.0264298395200686,0.9315742246799856,0.09485561484008297,3
ETH,0.9879941263577413,0.9008765580716386,0.08711756828610273,4
BTC,0.9480513519377198,0.86636353408612,0.0816878178515999,5
USD,0.5136373281479105,0.49195635415366284,0.021680973994247666,6
GOLD,0.4844747028957591,0.46505913204473653,0.01941557085102259,7
