shock_source,step,asset,shock
GOLD,3,VIX,0.010052796246992554
GOLD,4,BTC,0.004681642232345271
GOLD,4,ETH,0.004849838989271099
GOLD,4,GOLD,0.00233652080336387
GOLD,4,NASDAQ,0.0055228581845783945
GOLD,4,SP500,0.005630672362775104
GOLD,4,USD,0.0024643454175960217
GOLD,4,VIX,0.005130846026010089
GOLD,5,BTC,0.002344486902326988
GOLD,5,ETH,0.0024210691390787716
GOLD,5,GOLD,0.0011633377358191725
GOLD,5,NASDAQ,0.0027664010711838907
GOLD,5,SP500,0.002824017147671745
GOLD,5,USD,0.001235559200616481
GOLD,5,VIX,0.002551342518354394
NASDAQ,1,BTC,0.08942661221151665
NASDAQ,1,ETH,0.09239278654771281
NASDAQ,1,GOLD,0.04601494206044727
NASDAQ,1,NASDAQ,0.0
NASDAQ,1,SP500,0.1721049432084829
NASDAQ,1,USD,0.04629506258784405
NASDAQ,1,VIX,0.13817976269056745
NASDAQ,2,BTC,0.0443319641013683
NASDAQ,2,ETH,0.04602212706318434
NASDAQ,2,GOLD,0.02163845794780224
NASDAQ,2,NASDAQ,0.06950791198453557
NASDAQ,2,SP500,0.041723921992698476
NASDAQ,2,USD,0.023698618212954763
NASDAQ,2,VIX,0.04368258231252539
NASDAQ,3,BTC,0.022314270684563365
NASDAQ,3,ETH,0.02300794957568218
NASDAQ,3,GOLD,0.011126755195845842
NASDAQ,3,NASDAQ,0.023526333409292634
NASDAQ,3,SP500,0.028983763571637282
NASDAQ,3,USD,0.011680163277092655
NASDAQ,3,VIX,0.024832666804726015
NASDAQ,4,BTC,0.011128933597871728
NASDAQ,4,ETH,0.011510567148110535
NASDAQ,4,GOLD,0.0055228581845783945
NASDAQ,4,NASDAQ,0.013593610080460377
NASDAQ,4,SP500,0.013020567548973306
NASDAQ,4,USD,0.005880302187192076
NASDAQ,4,VIX,0.012078716617868551
NASDAQ,5,BTC,0.00556914260518753
NASDAQ,5,ETH,0.005753822793790623
NASDAQ,5,GOLD,0.0027664010711838907
NASDAQ,5,NASDAQ,0.006495017394327977
NASDAQ,5,SP500,0.006773635686347533
NASDAQ,5,USD,0.0029325285126337412
NASDAQ,5,VIX,0.006073658801444898
SP500,1,BTC,0.090754899252131
SP500,1,ETH,0.09301387098007573
SP500,1,GOLD,0.047957246579140855
SP500,1,NASDAQ,0.1721049432084829
SP500,1,SP500,0.0
SP500,1,USD,0.05177484626234289
SP500,1,VIX,0.14771004100174667
SP500,2,BTC,0.04518664351097863
SP500,2,ETH,0.04725853420808662
SP500,2,GOLD,0.02199046542250102
SP500,2,NASDAQ,0.041723921992698476
SP500,2,SP500,0.0733069318274372
SP500,2,USD,0.02331034286462566
SP500,2,VIX,0.04247364617080972
SP500,3,BTC,0.022800554323562185
SP500,3,ETH,0.023406965308454698
SP500,3,GOLD,0.011376487658689503
SP500,3,NASDAQ,0.02898376357163729
SP500,3,SP500,0.024212777316087262
SP500,3,USD,0.012081332593946144
SP500,3,VIX,0.025828842562415404
SP500,4,BTC,0.011347252781740865
SP500,4,ETH,0.011761819741755742
SP500,4,GOLD,0.005630672362775103
SP500,4,NASDAQ,0.013020567548973308
SP500,4,SP500,0.014220957000698229
SP500,4,USD,0.005971539772209276
SP500,4,VIX,0.012224200645998069
SP500,5,BTC,0.0056852359895621825
SP500,5,ETH,0.005868004856243777
SP500,5,GOLD,0.0028240171476717453
SP500,5,NASDAQ,0.0067736356863475344
SP500,5,SP500,0.006749579480701712
SP500,5,USD,0.002997573518325389
SP500,5,VIX,0.006217617727143895
USD,1,BTC,0.03117341828284524
USD,1,ETH,0.041899220098759946
USD,1,GOLD,0.05949999004358648
USD,1,NASDAQ,0.04629506258784405
USD,1,SP500,0.05177484626234289
USD,1,USD,0.0
USD,1,VIX,0.039015147013808885
USD,2,BTC,0.020700125320508005
USD,2,ETH,0.019627955191336297
USD,2,GOLD,0.008383304024771826
USD,2,NASDAQ,0.023698618212954763
USD,2,SP500,0.02331034286462566
USD,2,USD,0.01261362468951921
USD,2,VIX,0.02195696848485884
USD,3,BTC,0.009794446035660874
USD,3,ETH,0.010429823461098957
USD,3,GOLD,0.005049755023229339
USD,3,NASDAQ,0.011680163277092658
USD,3,SP500,0.012081332593946144
USD,3,USD,0.0051271689707471845
USD,3,VIX,0.010796036443679298
USD,4,BTC,0.004998679979934903
USD,4,ETH,0.005114713379701537
USD,4,GOLD,0.0024643454175960217
USD,4,NASDAQ,0.0058803021871920765
USD,4,SP500,0.005971539772209277
USD,4,USD,0.002630240182172526
USD,4,VIX,0.005428114085049835
USD,5,BTC,0.002482864722250346
USD,5,ETH,0.0025742323006694486
USD,5,GOLD,0.001235559200616481
USD,5,NASDAQ,0.0029325285126337417
USD,5,SP500,0.0029975735183253895
USD,5,USD,0.0013099401518087443
USD,5,VIX,0.002709345854533653
VIX,1,BTC,0.07816908096297939
VIX,1,ETH,0.08717914182712201
VIX,1,GOLD,0.030634081586239044
VIX,1,NASDAQ,0.13817976269056745
VIX,1,SP500,0.14771004100174667
VIX,1,USD,0.039015147013808885
VIX,1,VIX,0.0
VIX,2,BTC,0.04207278941722721
VIX,2,ETH,0.041809618667311275
VIX,2,GOLD,0.021583732973041912
VIX,2,NASDAQ,0.04368258231252539
VIX,2,SP500,0.04247364617080972
VIX,2,USD,0.02195696848485884
VIX,2,VIX,0.05708313966941097
VIX,3,BTC,0.020386273843290566
VIX,3,ETH,0.02142139058129292
VIX,3,GOLD,0.010052796246992554
VIX,3,NASDAQ,0.024832666804726018
VIX,3,SP500,0.025828842562415404
VIX,3,USD,0.010796036443679298
VIX,3,VIX,0.020761403023115056
VIX,4,BTC,0.010320965692038931
VIX,4,ETH,0.010597370638161217
VIX,4,GOLD,0.005130846026010089
VIX,4,NASDAQ,0.012078716617868551
VIX,4,SP500,0.01222420064599807
VIX,4,USD,0.005428114085049834
VIX,4,VIX,0.011436793267600167
VIX,5,BTC,0.0051365377601362725
VIX,5,ETH,0.005320908722611293
VIX,5,GOLD,0.002551342518354394
VIX,5,NASDAQ,0.0060736588014449
VIX,5,SP500,0.0062176177271438945
VIX,5,USD,0.002709345854533653
VIX,5,VIX,0.005574278879956771
