shock_source,BTC,ETH,GOLD,NASDAQ,SP500,USD,VIX
BTC,0.0816878178515999,0.22293175131878992,0.0696510916919758,0.1727709232005076,0.17577458585797487,0.06914953434119937,0.1560856476756724
ETH,0.22293175131878992,0.08711756828610273,0.0719739836616867,0.1786872531284805,0.1813091950946166,0.07964594443156618,0.1663284304364987
GOLD,0.0696510916919758,0.0719739836616867,0.01941557085102259,0.08706941445985765,0.08977888917077824,0.07663295370980014,0.069952799350638
NASDAQ,0.1727709232005076,0.17868725312848047,0.08706941445985765,0.11312287286861657,0.2626068320081395,0.09048667477771728,0.2248473872271323
SP500,0.17577458585797487,0.1813091950946166,0.08977888917077824,0.2626068320081395,0.11849024562492438,0.09613563501144935,0.23445434810811377
USD,0.06914953434119937,0.07964594443156618,0.07663295370980014,0.0904866747777173,0.09613563501144935,0.021680973994247666,0.07990561188193052
VIX,0.1560856476756724,0.1663284304364987,0.069952799350638,0.2248473872271323,0.23445434810811377,0.07990561188193052,0.09485561484008297
