model,systemic_risk_weight,selected_assets,expected_return,variance,volatility,systemic_risk_exposure,objective_value,ETH_selected,ETH_weight,BTC_selected,BTC_weight,NASDAQ_selected,NASDAQ_weight,SP500_selected,SP500_weight,GOLD_selected,GOLD_weight,USD_selected,USD_weight
standard,0.0,"BTC, NASDAQ, GOLD",0.2196494355594335,0.05087120490764722,0.22554645842408436,0.7371622596257118,-0.08438911532589315,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,0.0
systemic_risk_aware,0.005,"BTC, NASDAQ, GOLD",0.2196494355594335,0.05087120490764722,0.22554645842408436,0.7371622596257118,-0.08070330402776459,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,0.0
systemic_risk_aware,0.01,"BTC, NASDAQ, GOLD",0.2196494355594335,0.05087120490764722,0.22554645842408436,0.7371622596257118,-0.07701749272963603,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,0.0
systemic_risk_aware,0.015,"BTC, NASDAQ, GOLD",0.2196494355594335,0.05087120490764722,0.22554645842408436,0.7371622596257118,-0.07333168143150746,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,0.0
systemic_risk_aware,0.02,"BTC, NASDAQ, GOLD",0.2196494355594335,0.05087120490764722,0.22554645842408436,0.7371622596257118,-0.06964587013337892,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,0.0
systemic_risk_aware,0.025,"BTC, NASDAQ, GOLD",0.2196494355594335,0.05087120490764722,0.22554645842408436,0.7371622596257118,-0.06596005883525036,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,0.0
systemic_risk_aware,0.03,"BTC, NASDAQ, GOLD",0.2196494355594335,0.05087120490764722,0.22554645842408436,0.7371622596257118,-0.062274247537121796,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,0.0
systemic_risk_aware,0.04,"BTC, NASDAQ, GOLD",0.2196494355594335,0.05087120490764722,0.22554645842408436,0.7371622596257118,-0.054902624940864675,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,0.0
systemic_risk_aware,0.05,"BTC, NASDAQ, GOLD",0.2196494355594335,0.05087120490764722,0.22554645842408436,0.7371622596257118,-0.047531002344607554,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,0.0
systemic_risk_aware,0.06,"BTC, NASDAQ, GOLD",0.2196494355594335,0.05087120490764722,0.22554645842408436,0.7371622596257118,-0.04015937974835044,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,0.0
