date,mean_correlation,mean_absolute_correlation
2020-12-31,0.08414007672308814,0.3532488045450598
2021-01-04,0.08413039495966373,0.3457626737004042
2021-01-05,0.08369928249662882,0.3459361110826452
2021-01-06,0.08240244906143589,0.34433516926479996
2021-01-07,0.08270755109914116,0.3445894565858546
2021-01-08,0.08146217009728739,0.34331485654339255
2021-01-11,0.07939111858572398,0.3431816254929491
2021-01-12,0.08023605788350481,0.3423825723920642
2021-01-13,0.08102336199171616,0.3432353516916691
2021-01-14,0.08093239008035029,0.34273734790050603
2021-01-15,0.08056486518862857,0.34420842115248623
2021-01-19,0.0792795825818722,0.3437819931930265
2021-01-20,0.07907675225882752,0.3436153479110154
2021-01-21,0.0791496421647075,0.3399705787146924
2021-01-22,0.0791901544496538,0.33915970236129744
2021-01-25,0.07909564031991105,0.3389009144359079
2021-01-26,0.0781438897086439,0.3412883137539232
2021-01-27,0.0801741488938247,0.341214052959883
2021-01-28,0.0798512371000694,0.34077534160628664
2021-01-29,0.07956926896864035,0.33981943802273706
2021-02-01,0.07909551085441209,0.3392035279739242
2021-02-02,0.07857265007279089,0.33859442423535346
2021-02-03,0.0784888911533591,0.3395113730690976
2021-02-04,0.07766171200378717,0.3390565805787161
2021-02-05,0.0771858463487398,0.3398337769248877
2021-02-08,0.07656566150428287,0.33824919455530744
2021-02-09,0.07655382656619236,0.3382795344207568
2021-02-10,0.07664784729932902,0.3383817347778507
2021-02-11,0.07645780078828868,0.3382909513147996
2021-02-12,0.07647776738473004,0.3382240233782892
2021-02-16,0.07628750539651147,0.33807611682642635
2021-02-17,0.07575881715836677,0.3378557956839501
2021-02-18,0.0761300353425447,0.33837100788768637
2021-02-19,0.07567093913347873,0.3382752804149736
2021-02-22,0.0755991588694295,0.33783864817498804
2021-02-23,0.07428182901997438,0.3408167670362352
2021-02-24,0.0730067979828404,0.33942128485007406
2021-02-25,0.07332867838100066,0.3422344612291861
2021-02-26,0.07261497199139307,0.34452100206771524
